model=p stopK=0 open_ms=7.09 (first open, includes any rebuild) 
search | very common punct  "(" | token  | none          | rows=77924   count=77924    p50=52.922ms p95=59.901ms mean=55.127
search | very common punct  "(" | token  | lang=rust     | rows=22732   count=22732    p50=12.152ms p95=13.624ms mean=12.297
search | very common punct  "(" | token  | class=keyword | rows=0       count=0        p50=20.971ms p95=22.035ms mean=21.032
search | very common punct  "(" | symbol | none          | rows=4036    count=77924    p50=31.873ms p95=32.234ms mean=31.844
search | very common punct  "(" | file   | none          | rows=2300    count=77924    p50=1.105ms p95=1.136ms mean=1.113
search | very common punct  "(" | file   | lang=rust     | rows=144     count=22732    p50=0.515ms p95=0.520ms mean=0.514
search | very common punct  "(" | file   | class=keyword | rows=0       count=0        p50=20.957ms p95=21.179ms mean=20.906
search | very common punct  "(" | repo   | none          | rows=32      count=77924    p50=0.626ms p95=0.638ms mean=0.630
search | very common punct  "(" | org    | none          | rows=4       count=77924    p50=0.588ms p95=0.601ms mean=0.589
search | very common 2      ")" | token  | none          | rows=77796   count=77796    p50=47.955ms p95=48.871ms mean=48.075
search | very common 2      ")" | token  | lang=rust     | rows=22732   count=22732    p50=10.861ms p95=11.074ms mean=10.839
search | very common 2      ")" | token  | class=keyword | rows=0       count=0        p50=20.822ms p95=21.234ms mean=20.869
search | very common 2      ")" | symbol | none          | rows=4032    count=77796    p50=31.781ms p95=32.004ms mean=31.771
search | very common 2      ")" | symbol | lang=rust     | rows=1880    count=22732    p50=7.235ms p95=7.298ms mean=7.238
search | very common 2      ")" | symbol | class=keyword | rows=0       count=0        p50=21.131ms p95=21.639ms mean=21.175
search | very common 2      ")" | file   | none          | rows=2296    count=77796    p50=1.107ms p95=1.129ms mean=1.115
search | very common 2      ")" | file   | lang=rust     | rows=144     count=22732    p50=0.513ms p95=0.524ms mean=0.514
search | very common 2      ")" | file   | class=keyword | rows=0       count=0        p50=20.699ms p95=20.854ms mean=20.700
search | very common 2      ")" | repo   | none          | rows=32      count=77796    p50=0.626ms p95=0.658ms mean=0.631
search | very common 2      ")" | repo   | lang=rust     | rows=4       count=22732    p50=0.493ms p95=0.504ms mean=0.494
search | very common 2      ")" | repo   | class=keyword | rows=0       count=0        p50=20.726ms p95=20.986ms mean=20.747
search | very common 2      ")" | org    | none          | rows=4       count=77796    p50=0.587ms p95=0.612ms mean=0.592
search | very common 2      ")" | org    | lang=rust     | rows=4       count=22732    p50=0.492ms p95=0.507ms mean=0.493
search | very common 2      ")" | org    | class=keyword | rows=0       count=0        p50=20.752ms p95=21.084ms mean=20.807
search | common ident       "public" | token  | none          | rows=7720    count=7720     p50=16.005ms p95=16.276ms mean=16.026
search | common ident       "public" | token  | lang=rust     | rows=0       count=0        p50=0.399ms p95=0.414ms mean=0.403
search | common ident       "public" | token  | class=keyword | rows=0       count=0        p50=13.254ms p95=13.396ms mean=13.234
search | common ident       "public" | symbol | none          | rows=1924    count=7720     p50=14.818ms p95=14.972ms mean=14.821
search | common ident       "public" | symbol | lang=rust     | rows=0       count=0        p50=0.399ms p95=0.404ms mean=0.401
search | common ident       "public" | symbol | class=keyword | rows=0       count=0        p50=13.186ms p95=13.290ms mean=13.204
search | common ident       "public" | file   | none          | rows=1924    count=7720     p50=0.897ms p95=0.910ms mean=0.904
search | common ident       "public" | file   | lang=rust     | rows=0       count=0        p50=0.398ms p95=0.405ms mean=0.399
search | common ident       "public" | file   | class=keyword | rows=0       count=0        p50=13.228ms p95=13.330ms mean=13.239
search | common ident       "public" | repo   | none          | rows=24      count=7720     p50=0.510ms p95=0.519ms mean=0.511
search | common ident       "public" | repo   | lang=rust     | rows=0       count=0        p50=0.398ms p95=0.404ms mean=0.399
search | common ident       "public" | repo   | class=keyword | rows=0       count=0        p50=13.237ms p95=13.488ms mean=13.289
search | common ident       "public" | org    | none          | rows=4       count=7720     p50=0.487ms p95=0.507ms mean=0.488
search | common ident       "public" | org    | lang=rust     | rows=0       count=0        p50=0.398ms p95=0.402ms mean=0.398
search | common ident       "public" | org    | class=keyword | rows=0       count=0        p50=13.436ms p95=13.940ms mean=13.461
search | mid (rank~500)     "Time" | token  | none          | rows=32      count=32       p50=0.608ms p95=0.630ms mean=0.613
search | mid (rank~500)     "Time" | token  | lang=rust     | rows=0       count=0        p50=0.008ms p95=0.010ms mean=0.008
search | mid (rank~500)     "Time" | token  | class=keyword | rows=0       count=0        p50=0.604ms p95=0.652ms mean=0.611
search | mid (rank~500)     "Time" | symbol | none          | rows=30      count=32       p50=0.600ms p95=0.613ms mean=0.602
search | mid (rank~500)     "Time" | file   | none          | rows=30      count=32       p50=0.012ms p95=0.014ms mean=0.012
search | mid (rank~500)     "Time" | file   | lang=rust     | rows=0       count=0        p50=0.008ms p95=0.008ms mean=0.008
search | mid (rank~500)     "Time" | file   | class=keyword | rows=0       count=0        p50=0.592ms p95=0.621ms mean=0.595
search | mid (rank~500)     "Time" | repo   | none          | rows=2       count=32       p50=0.009ms p95=0.010ms mean=0.010
search | mid (rank~500)     "Time" | org    | none          | rows=1       count=32       p50=0.009ms p95=0.010ms mean=0.009
search | rare (count 2)     "\"    \"" | token  | none          | rows=8       count=8        p50=0.091ms p95=0.098ms mean=0.094
search | rare (count 2)     "\"    \"" | token  | lang=rust     | rows=8       count=8        p50=0.088ms p95=0.092ms mean=0.088
search | rare (count 2)     "\"    \"" | token  | class=keyword | rows=0       count=0        p50=0.087ms p95=0.088ms mean=0.086
search | rare (count 2)     "\"    \"" | symbol | none          | rows=4       count=8        p50=0.106ms p95=0.111ms mean=0.106
search | rare (count 2)     "\"    \"" | file   | none          | rows=4       count=8        p50=0.004ms p95=0.005ms mean=0.004
search | rare (count 2)     "\"    \"" | file   | lang=rust     | rows=4       count=8        p50=0.004ms p95=0.004ms mean=0.004
