model=p stopK=256 open_ms=8.80 (first open, includes any rebuild) 
search | very common punct  "(" | token  | none          | rows=798721  count=798721   p50=583.081ms p95=704.096ms mean=594.557
search | very common punct  "(" | token  | lang=rust     | rows=233003  count=233003   p50=133.721ms p95=134.622ms mean=133.688
search | very common punct  "(" | token  | class=keyword | rows=0       count=0        p50=270.470ms p95=272.917ms mean=270.183
search | very common punct  "(" | symbol | none          | rows=39593   count=798721   p50=403.224ms p95=419.884ms mean=404.038
search | very common punct  "(" | file   | none          | rows=23575   count=798721   p50=378.719ms p95=381.541ms mean=379.016
search | very common punct  "(" | file   | lang=rust     | rows=1476    count=233003   p50=65.058ms p95=65.783ms mean=65.138
search | very common punct  "(" | file   | class=keyword | rows=0       count=0        p50=270.219ms p95=271.379ms mean=269.782
search | very common punct  "(" | repo   | none          | rows=328     count=798721   p50=321.543ms p95=324.041ms mean=321.281
search | very common punct  "(" | org    | none          | rows=10      count=798721   p50=296.180ms p95=299.000ms mean=295.792
search | very common 2      ")" | token  | none          | rows=797409  count=797409   p50=580.613ms p95=588.125ms mean=580.631
search | very common 2      ")" | token  | lang=rust     | rows=233003  count=233003   p50=134.425ms p95=136.305ms mean=134.560
search | very common 2      ")" | token  | class=keyword | rows=0       count=0        p50=272.845ms p95=274.028ms mean=272.321
search | very common 2      ")" | symbol | none          | rows=39552   count=797409   p50=401.893ms p95=408.092ms mean=402.930
search | very common 2      ")" | symbol | lang=rust     | rows=17494   count=233003   p50=85.019ms p95=85.785ms mean=84.899
search | very common 2      ")" | symbol | class=keyword | rows=0       count=0        p50=277.615ms p95=280.299ms mean=277.664
search | very common 2      ")" | file   | none          | rows=23534   count=797409   p50=381.158ms p95=386.930ms mean=381.086
search | very common 2      ")" | file   | lang=rust     | rows=1476    count=233003   p50=65.625ms p95=66.582ms mean=65.694
search | very common 2      ")" | file   | class=keyword | rows=0       count=0        p50=275.513ms p95=277.955ms mean=274.785
search | very common 2      ")" | repo   | none          | rows=328     count=797409   p50=323.695ms p95=327.249ms mean=324.091
search | very common 2      ")" | repo   | lang=rust     | rows=41      count=233003   p50=54.032ms p95=54.442ms mean=53.995
search | very common 2      ")" | repo   | class=keyword | rows=0       count=0        p50=272.983ms p95=277.837ms mean=273.499
