model=p stopK=0 open_ms=1.86 (first open, includes any rebuild) 
search | absent             "zzz_nope_zzz" | token  | class=keyword | rows=0       count=0        p50=0.002ms p95=0.002ms mean=0.002
search | absent             "zzz_nope_zzz" | symbol | none          | rows=0       count=0        p50=0.002ms p95=0.002ms mean=0.002
search | absent             "zzz_nope_zzz" | file   | none          | rows=0       count=0        p50=0.002ms p95=0.002ms mean=0.002
search | absent             "zzz_nope_zzz" | file   | lang=rust     | rows=0       count=0        p50=0.002ms p95=0.002ms mean=0.002
search | absent             "zzz_nope_zzz" | file   | class=keyword | rows=0       count=0        p50=0.002ms p95=0.002ms mean=0.002
search | absent             "zzz_nope_zzz" | repo   | none          | rows=0       count=0        p50=0.002ms p95=0.002ms mean=0.002
search | absent             "zzz_nope_zzz" | org    | none          | rows=0       count=0        p50=0.002ms p95=0.002ms mean=0.002
symbols exact `new` -> 370 hits
symbols | p50=0.283ms p95=0.389ms
describe | p50=4.045ms p95=4.681ms (66 search cases)
